iter	Passed	Remaining
426	612	822
427	613	820
428	614	818
429	615	816
430	616	814
431	617	812
432	618	810
433	619	808
434	620	806
435	621	804
436	622	802
437	623	799
438	624	798
439	625	796
440	627	794
441	628	793
442	629	791
443	630	790
444	631	787
445	632	786
446	633	784
447	634	782
448	635	780
449	637	778
450	638	776
451	639	774
452	640	773
453	641	771
454	642	769
455	643	767
456	644	765
457	645	764
458	646	762
459	647	760
460	648	758
461	649	756
462	650	754
463	652	753
464	653	751
465	654	750
466	655	748
467	656	746
468	657	744
469	658	742
470	659	741
471	660	739
472	662	737
473	663	735
474	664	734
475	665	732
476	666	731
477	667	729
478	669	727
479	670	725
480	671	724
481	672	722
482	673	720
483	674	719
484	675	717
485	676	715
486	677	713
487	678	711
488	679	710
489	680	708
490	681	706
491	682	705
492	683	703
493	684	701
494	685	699
495	691	702
496	692	701
497	694	700
498	696	699
499	697	697
500	729	726
501	731	725
502	735	726
503	737	725
504	738	723
505	740	722
506	747	726
507	748	725
508	750	724
509	752	722
510	753	721
511	755	719
512	756	718
513	757	716
514	759	714
515	760	713
516	761	711
517	762	709
518	764	708
519	765	706
520	767	705
521	768	703
522	769	701
523	771	700
524	772	698
525	773	696
526	774	695
527	775	693
528	776	691
529	777	689
530	779	688
531	780	686
532	782	685
533	783	683
534	784	681
535	785	679
536	786	678
537	788	676
538	789	674
539	790	673
540	791	671
541	792	669
542	794	668
543	795	666
544	796	664
545	797	663
546	798	661
547	799	659
548	800	657
549	801	655
550	802	654
551	803	652
552	805	650
553	806	649
554	807	647
555	808	645
556	809	643
557	810	642
558	811	640
559	812	638
560	813	636
561	814	634
562	815	633
563	816	631
564	817	629
565	819	628
566	820	626
567	821	625
568	823	623
569	824	621
570	825	620
571	826	618
572	827	616
573	828	615
574	829	613
575	830	611
576	832	609
577	832	608
578	834	606
579	835	604
580	836	603
581	837	601
582	838	599
583	839	597
584	840	596
585	841	594
586	842	593
587	844	591
588	844	589
589	846	587
590	847	586
591	848	584
592	849	582
593	850	581
594	851	579
595	852	577
596	853	576
597	854	574
598	855	572
599	856	571
600	857	569
601	858	567
602	859	566
603	860	564
604	862	562
605	863	561
606	864	559
607	865	557
608	866	556
609	867	554
610	868	553
611	869	551
612	870	549
613	871	547
614	872	546
615	873	544
616	874	543
617	875	541
618	876	539
619	877	538
620	878	536
621	880	534
622	881	533
623	882	531
624	883	530
625	884	528
626	885	526
627	886	524
628	887	523
629	888	521
630	889	520
631	890	518
632	891	516
633	892	515
634	894	513
635	895	512
636	896	510
637	897	509
638	898	507
639	899	505
640	900	504
641	901	502
642	902	501
643	903	499
644	904	497
645	905	496
646	907	494
647	908	493
648	909	491
649	910	490
650	911	488
651	911	486
652	912	485
653	914	483
654	915	482
655	916	480
656	917	478
657	918	477
658	919	475
659	920	474
660	921	472
661	922	470
662	923	469
663	924	467
664	925	466
665	926	464
666	927	462
667	928	461
668	929	459
669	930	458
670	931	456
671	933	455
672	934	454
673	935	452
674	936	451
675	937	449
676	938	447
677	939	446
678	940	444
679	941	443
680	942	441
681	943	440
682	945	438
683	946	437
684	947	435
685	948	434
686	949	432
687	950	431
688	952	429
689	953	428
690	954	426
691	955	425
692	956	423
693	957	422
694	958	420
695	959	419
696	960	417
697	961	416
698	962	414
699	963	413
700	964	411
701	965	410
702	967	408
703	968	407
704	969	405
705	969	403
706	970	402
707	971	400
708	973	399
709	974	397
710	975	396
711	976	394
712	977	393
713	978	391
714	979	390
715	980	388
716	981	387
717	982	385
718	983	384
719	985	383
720	986	381
721	987	380
722	988	378
723	989	377
724	990	375
725	991	374
726	992	372
727	993	371
728	994	369
729	995	368
730	997	366
731	998	365
732	999	364
733	1000	362
734	1001	361
735	1002	359
736	1003	358
737	1004	356
738	1005	355
739	1006	353
740	1007	352
741	1008	350
742	1009	349
743	1010	347
744	1012	346
745	1013	344
746	1014	343
747	1015	342
748	1016	340
749	1017	339
750	1018	337
751	1019	336
752	1020	334
753	1021	333
754	1022	331
755	1023	330
756	1024	328
757	1025	327
758	1027	326
759	1028	324
760	1029	323
761	1030	321
762	1031	320
763	1032	319
764	1033	317
765	1034	316
766	1035	314
767	1037	313
768	1038	311
769	1039	310
770	1040	309
771	1041	307
772	1042	306
773	1043	304
774	1044	303
775	1045	301
776	1046	300
777	1047	299
778	1048	297
779	1050	296
780	1051	294
781	1052	293
782	1053	291
783	1054	290
784	1055	289
785	1056	287
786	1057	286
787	1058	284
788	1059	283
789	1060	281
790	1061	280
791	1062	279
792	1064	277
793	1065	276
794	1066	274
795	1067	273
796	1068	272
797	1069	270
798	1070	269
799	1071	267
800	1072	266
801	1073	265
802	1074	263
803	1075	262
804	1077	260
805	1078	259
806	1079	258
807	1080	256
808	1081	255
809	1082	253
810	1083	252
811	1084	251
812	1085	249
813	1086	248
814	1087	246
815	1088	245
816	1089	244
817	1090	242
818	1091	241
819	1092	239
820	1093	238
821	1094	237
822	1095	235
823	1096	234
824	1097	232
825	1098	231
826	1099	230
827	1101	228
828	1102	227
829	1103	226
830	1104	224
831	1105	223
832	1106	221
833	1107	220
834	1108	219
835	1109	217
836	1111	216
837	1112	214
838	1113	213
839	1114	212
840	1115	210
841	1116	209
842	1117	208
843	1118	206
844	1119	205
845	1120	204
846	1121	202
847	1122	201
848	1123	199
849	1124	198
850	1125	197
851	1127	195
852	1128	194
853	1129	193
854	1130	191
855	1131	190
856	1132	189
857	1133	187
858	1134	186
859	1135	184
860	1136	183
861	1137	182
862	1138	180
863	1139	179
864	1140	178
865	1141	176
866	1142	175
867	1144	173
868	1145	172
869	1146	171
870	1147	169
871	1148	168
872	1149	167
873	1150	165
874	1151	164
875	1152	163
876	1153	161
877	1155	160
878	1156	159
879	1157	157
880	1158	156
881	1159	155
882	1160	153
883	1161	152
884	1162	151
885	1163	149
886	1164	148
887	1165	147
888	1166	145
889	1167	144
890	1169	143
891	1170	141
892	1171	140
893	1172	139
894	1173	137
895	1174	136
896	1175	135
897	1176	133
898	1177	132
899	1178	130
900	1179	129
901	1181	128
902	1182	127
903	1183	125
904	1184	124
905	1185	122
906	1186	121
907	1187	120
908	1188	119
909	1189	117
910	1190	116
911	1192	115
912	1193	113
913	1194	112
914	1195	111
915	1196	109
916	1197	108
917	1198	107
918	1199	105
919	1200	104
920	1201	103
921	1203	101
922	1204	100
923	1205	99
924	1205	97
925	1207	96
926	1208	95
927	1209	93
928	1210	92
929	1211	91
930	1212	89
931	1213	88
932	1214	87
933	1215	85
934	1216	84
935	1217	83
936	1218	81
937	1220	80
938	1221	79
939	1222	78
940	1223	76
941	1224	75
942	1225	74
943	1226	72
944	1227	71
945	1228	70
946	1229	68
947	1230	67
948	1231	66
949	1233	64
950	1234	63
951	1235	62
952	1236	60
953	1237	59
954	1238	58
955	1239	57
956	1240	55
957	1241	54
958	1242	53
959	1243	51
960	1244	50
961	1245	49
962	1246	47
963	1247	46
964	1248	45
965	1249	43
966	1250	42
967	1251	41
968	1252	40
969	1253	38
970	1254	37
971	1255	36
972	1256	34
973	1258	33
974	1259	32
975	1260	30
976	1261	29
977	1262	28
978	1263	27
979	1264	25
980	1265	24
981	1266	23
982	1267	21
983	1268	20
984	1270	19
985	1271	18
986	1272	16
987	1273	15
988	1274	14
989	1275	12
990	1276	11
991	1277	10
992	1278	9
993	1279	7
994	1280	6
995	1282	5
996	1283	3
997	1284	2
998	1285	1
999	1286	0
